Population size,"4,485",Ancestral pop. size
Population size,"2,807",Pop. size during second epoch
Epoch Time (gen.),"2,162",Start time of second epoch
Generation time (yrs.),11.9,Average generation interval
Mutation rate,5.83e-9,Per-base per-generation mutation rate
