Population size,"161,744",Ancestral pop. size
Population size,"24,076",pop. size during second epoch
Population size,"203,077",pop. size during Third epoch
Epoch Time (gen.),"7,420",time of second epoch
Epoch Time (gen.),"14,534",time of third epoch
